,image_path,id,ClassId,aspect_ratio,extent,solidity,equivalent_diameter,orientation,hu_1,hu_2,hu_3,hu_4,hu_5,hu_6,hu_7
5058,img_000001.jpg,7218,32,1.1,0.45,0.9339622641509434,7.938851142601841,51.46470642089844,0.001244809209650527,2.0478002022290234e-07,3.93250261384997e-11,6.337258075873962e-12,8.194303554319212e-23,2.7792007788046984e-15,5.739282079141822e-23
4438,img_000002.jpg,6333,13,1.1818181818181819,0.48951048951048953,0.9032258064516129,9.440697438826296,0.0,0.0007596219821933334,1.2533852245566226e-09,2.873571955401941e-10,5.466902011897768e-13,-5.841109344380356e-24,-1.5471024555195252e-17,-3.5822563337344745e-24
4822,img_000003.jpg,6867,7,1.0588235294117647,0.7467320261437909,0.9849137931034483,17.056823736322794,83.31291198730469,0.0007203241102936204,1.0188245259619374e-09,4.560366475808912e-13,4.651521085801454e-13,7.232471612143126e-27,1.1553673374904729e-17,-2.141138400185724e-25
5409,img_000004.jpg,7730,4,1.0909090909090908,0.6742424242424242,0.956989247311828,10.645107772184812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4441,img_000005.jpg,6338,35,0.7272727272727273,0.26136363636363635,0.5287356321839081,5.4115163798060095,11.335766792297363,0.0023707182201160196,1.3956116208711571e-06,1.2053649386507693e-10,5.321316174568312e-10,3.632474976609706e-20,6.276098353184361e-13,-1.297806516622807e-19
2200,img_000006.jpg,3105,17,1.0588235294117647,0.6601307189542484,0.9596199524940617,16.03728119216293,85.92040252685547,0.0009498699178818457,1.4963438600133398e-08,9.857597730830155e-12,6.648864596352787e-12,1.1445904343745995e-23,-7.777313743632871e-16,5.2596818439235846e-23
4576,img_000007.jpg,6532,23,1.4615384615384615,0.38461538461538464,0.6462585034013606,10.998079684646791,92.96761322021484,0.007806495488500364,1.589877140809873e-05,1.832859263991131e-08,1.782444892607754e-08,3.125089526783451e-16,-3.6957688011671794e-11,7.831601696655518e-17
3666,img_000008.jpg,5225,14,1.3157894736842106,0.32842105263157895,0.41324503311258276,14.093451279891855,137.7245330810547,0.0013487512757201646,1.7611180942538442e-08,7.688548975759062e-11,4.1460660226677626e-11,2.3408259651798362e-21,2.7139120094084636e-15,-1.3652888474282308e-23
1002,img_000009.jpg,1429,24,0.8,0.275,0.8461538461538461,2.6462837142006137,29.135223388671875,0.009646248916420647,3.159367787651342e-05,2.2344815657902025e-07,1.3644597718786346e-07,-1.0473579930719373e-14,-1.5511708914680693e-10,2.1399201283815702e-14
3990,img_000010.jpg,5669,2,1.0666666666666667,0.58125,0.8773584905660378,13.327299669871433,51.68903732299805,0.008894806207805478,6.087117606174867e-05,2.8541731149221816e-08,2.8708264294734272e-08,8.19897552184614e-16,2.2390019082025795e-10,-5.545085088394851e-17
